item_id,study_title,retraction_context,cause_category,primary_retraction_cause,republication_status,post_retraction_reanalysis,replacement_doi,strategy_category
19,"Effect of dexmedetomidine as adjuvant in ropivacaine-induced supraclavicular brachial plexus block: a prospective, double-blinded and randomized controlled study","The retraction notice cites overwhelming evidence of data fabrication and the authors' failure to provide raw data to substantiate their findings. Consequently, the reported statistical significance regarding shortened onset time, prolonged block duration, and reduced analgesic needs is unreliable, rendering the conclusion scientifically invalid.",fabrication_or_manipulation,fabrication_or_manipulation,No,No,,fabrication_or_manipulation
20,"Individualized homeopathic treatment and fluoxetine for moderate to severe depression in peri- and postmenopausal women (HOMDEP-MENOP Study): a randomized, double-dummy, double-blind, placebo-controlled trial","The retraction completely invalidates this conclusion due to critical methodological flaws. The journal's investigation found insufficient details on the homeopathic treatment protocols for reproducibility, a lack of adequate controls to rule out placebo effects for the highly diluted homeopathic remedies, and missing information on diagnostic methodology and blinding. Furthermore, the 6-week study duration and fixed dosing were deemed inadequate to properly evaluate the efficacy of the antidepressant fluoxetine, rendering the study's efficacy claims unreliable and unsupported.",other_or_unclassified,other_or_unclassified,No,No,,other_or_unclassified
21,Cardiac stem cells in patients with ischaemic cardiomyopathy (SCIPIO): initial results of a randomised phase 1 trial,"The retraction cites unreliable data regarding the isolation, expansion, and characterization of the c-kit positive cells used as the therapeutic intervention. Since the fundamental identity and integrity of the treatment agent (the stem cells) cannot be verified, the reported clinical improvements cannot be reliably attributed to the specific intervention described, invalidating the study's claims of efficacy.",other_or_unclassified,other_or_unclassified,No,No,,other_or_unclassified
22,The Effect of vitamin D supplementation on inflammatory and hemostatic markers and disease activity in patients with systemic lupus erythematosus: a randomized placebo-controlled trial,"The retraction undermines the conclusion because the journal identified statistically improbable identical baseline characteristics between the treatment and placebo groups, suggesting data fabrication or severe error. Additionally, discrepancies in patient enrollment numbers and multiple statistical errors cast doubt on the veracity of the data, rendering the reported clinical benefits unreliable.",fabrication_or_manipulation,fabrication_or_manipulation,No,No,,fabrication_or_manipulation
23,Effectiveness of complementary pain treatment for women with deep endometriosis through transcutaneous electrical nerve stimulation (TENS): randomized controlled trial,"The article has been formally withdrawn at the request of the authors and/or editor. Although the specific technical reason (e.g., data error or ethical oversight) is not detailed in the withdrawal notice, the act of withdrawal completely removes the paper from the valid scientific record, rendering the reported data and clinical improvements unreliable and unfit for citation.",misconduct_or_ethics,misconduct_or_ethics,No,No,,misconduct_or_ethics
24,Comparison between valsartan and amlodipine regarding cardiovascular morbidity and mortality in hypertensive patients with glucose intolerance: NAGOYA HEART study,"The paper was retracted due to unreliable data and method errors specifically targeting the heart failure endpoint. The investigation revealed that the authors altered the definition of heart failure to exclude non-hospitalized cases without proper disclosure and filtered events prior to independent adjudication. Since the study's primary positive finding relied entirely on this compromised heart failure data, the conclusion regarding valsartan's superiority is invalid.",other_or_unclassified,other_or_unclassified,No,No,,other_or_unclassified
25,Menatetrenone and vitamin D2 with calcium supplements prevent nonvertebral fracture in elderly women with Alzheimer’s disease,"The paper was retracted because the corresponding author admitted to fabricating the clinical trial data. Since the quantitative results showing reduced fractures and increased bone density were based on falsified information, the conclusion regarding the efficacy of the treatment is entirely unreliable.",fabrication_or_manipulation,fabrication_or_manipulation,No,No,,fabrication_or_manipulation
26,Low-dose vitamin D prevents muscular atrophy and reduces falls and hip fractures in women after stroke: a randomized controlled trial,"The paper was retracted due to concerns about data integrity and scientific misconduct. As the study's conclusion relies heavily on the statistical significance of specific clinical outcomes (falls, fractures, muscle biopsy data), the lack of credible data invalidates the claim that vitamin D provides these specific protective benefits.",fabrication_or_manipulation,fabrication_or_manipulation,No,No,,fabrication_or_manipulation
27,Amelioration of osteopenia and hypovitaminosis D by 1α-hydroxyvitamin D3 in elderly patients with Parkinson’s disease,"The paper was retracted due to admitted scientific misconduct and a finding of unreliable data following a systematic review of the author's trials. Since the retraction confirms the data integrity was compromised and the results unreliable, the conclusion that 1α-hydroxyvitamin D3 provides the stated clinical benefits is invalid.",fabrication_or_manipulation,fabrication_or_manipulation,No,No,,fabrication_or_manipulation
28,Effects of decontamination of the oropharynx and intestinal tract on antibiotic resistance in ICUs: a randomized clinical trial,"The paper was retracted and replaced due to a coding error that misclassified intervention periods in one ICU. This error fundamentally altered the study's findings; while the original abstract reported no survival benefit, the corrected analysis revealed that SDD is actually associated with significantly lower mortality, reduced length of stay, and lower rates of candidemia compared to SOD.",other_or_unclassified,other_or_unclassified,Yes,No,10.1001/jama.2014.7247,other_or_unclassified
29,Risedronate therapy for prevention of hip fracture after stroke in elderly women,"The retraction cites author misconduct and explicitly classifies the results as unreliable, alongside issues of false authorship. These fundamental breaches of research integrity invalidate the data presented, rendering the conclusion regarding risedronate's efficacy in preventing hip fractures unsubstantiated and untrustworthy.",misconduct_or_ethics,misconduct_or_ethics,No,No,,misconduct_or_ethics
30,Pain management after total knee arthroplasty using a multimodal approach,"The paper was retracted due to concerns about the data, specifically that it was published prematurely and without proper institutional permission. As the analysis represents an unauthorized and potentially incomplete dataset that was later superseded by a finalized publication, the conclusions presented in this specific article are not reliable.",other_or_unclassified,other_or_unclassified,No,No,,other_or_unclassified
31,Effect of folate and mecobalamin on hip fractures in patients with stroke: a randomized controlled trial,"The paper was retracted due to admitted scientific misconduct, including falsification or fabrication of data and concerns regarding data integrity. Consequently, the reported statistical significance and the claimed 80% reduction in relative risk of fractures are unreliable and invalid.",fabrication_or_manipulation,fabrication_or_manipulation,No,No,,fabrication_or_manipulation
32,Nuts as a replacement for carbohydrates in the diabetic diet,"The retraction notice cites unintended errors in statistical applications and states that a reanalysis revealed the findings are no longer definitively different between groups, thereby invalidating the conclusion that the intervention provided a statistically significant benefit.",retracted_and_republished,other_or_unclassified,No,Yes,10.1007/s00125-018-4628-9,other_or_unclassified
33,Effect of vitamin and trace-element supplementation on immune responses and infection in elderly subjects,"The paper was retracted due to findings of unreliable data and results following a formal institutional investigation. Consequently, the reported statistical significance regarding improved immune markers and reduced infection rates is invalid, and the conclusion that supplementation provides these clinical benefits is no longer supported by credible evidence.",misconduct_or_ethics,misconduct_or_ethics,No,No,,misconduct_or_ethics
34,Effect of perindopril on large artery stiffness and aortic root diameter in patients with Marfan syndrome: a randomized controlled trial,"The paper was retracted due to inadequate validation of primary data sources, data misrepresentation, and falsification/fabrication of data following an admission of misconduct by the first author. Consequently, the reported clinical benefits regarding reduced aortic stiffness and diameter are based on unreliable data and cannot be accepted as valid.",fabrication_or_manipulation,fabrication_or_manipulation,No,No,,fabrication_or_manipulation
35,The effects of albumin versus hydroxyethyl starch solution on cardiorespiratory and circulatory variables in critically ill patients,"The paper was retracted due to confirmed data manipulation and research misconduct identified during an institutional investigation. Consequently, the reported advantages of HES regarding cardiac index, oxygen delivery, and gastric pH are based on falsified evidence, rendering the conclusion entirely invalid.",fabrication_or_manipulation,fabrication_or_manipulation,No,No,,fabrication_or_manipulation
36,"A randomized, double-blind, placebo-controlled study assessing the anti-inflammatory effects of ketamine in cardiac surgical patients","The retraction notice explicitly confirms that the C-reactive protein (CRP) data, a core component supporting the study's conclusion, was falsified and fabricated by a co-author, thereby invalidating the claims regarding ketamine's anti-inflammatory effects and compromising the integrity of the entire study.",fabrication_or_manipulation,fabrication_or_manipulation,No,No,,fabrication_or_manipulation
37,"Manuka honey vs. hydrogel - a prospective, open label, multicentre, randomised controlled trial to compare desloughing efficacy and healing outcomes in venous ulcers","The article was retracted due to confirmed errors in data analysis that specifically affected the study's findings. As the conclusion depends entirely on the reported statistical significance of wound reduction and healing rates, these analytical errors render the claims of superior efficacy invalid.",other_or_unclassified,other_or_unclassified,No,No,,other_or_unclassified
38,Influence of different volume therapy regimens on regulators of the circulation in the critically ill,"The paper was retracted following an institutional investigation that found the results unreliable and cast significant doubt on the veracity of the data; therefore, the claimed advantages of HES over human albumin are not supported by valid evidence.",misconduct_or_ethics,misconduct_or_ethics,No,No,,misconduct_or_ethics
39,Volume therapy in the critically ill: is there a difference?,"The paper was retracted due to ethical violations and the inability to verify institutional review board (IRB) approval. The absence of confirmed ethical oversight calls into question the legitimacy of the study conduct and data integrity, rendering the reported clinical benefits and safety profile of HES unreliable.",fabrication_or_manipulation,fabrication_or_manipulation,No,No,,fabrication_or_manipulation
40,Colorectal infraperitoneal anastomosis: the effects of perioperative supplemental oxygen administration on the anastomotic dehiscence,"The paper was retracted due to plagiarism of data and text, specifically noting that data and statistics in the results were similar to a previously published study by different authors. Because the underlying data supports the statistical significance of the findings is plagiarized and likely not original to the study cohort described, the conclusion regarding the benefits of supplemental oxygen is unreliable and invalid.",duplication_or_overlap,duplication_or_overlap,No,No,,duplication_or_overlap
41,CPAP for the metabolic syndrome in patients with obstructive sleep apnea,"The paper was retracted due to transcription errors in data tables and the subsequent inability to locate primary data to verify corrections. Although the authors claimed the errors did not fundamentally alter the findings, the absence of source data renders the reported statistical improvements in blood pressure and metabolic markers unverifiable and scientifically unreliable.",other_or_unclassified,other_or_unclassified,No,No,,other_or_unclassified
42,Physical activity within a CBT intervention improves coping with pain in traumatized refugees: results of a randomized controlled design,"The retraction was issued due to administrative and ethical violations regarding the improper transfer of participant identification details and incorrect billing for research costs. The retraction notice explicitly states that data quality, data analyses, and the clinical conclusions drawn from the results were not affected by these issues.",misconduct_or_ethics,misconduct_or_ethics,No,No,,misconduct_or_ethics
43,Granisetron/dexamethasone combination for the prevention of postoperative nausea and vomiting after laparoscopic cholecystectomy,"The paper was retracted due to falsification and fabrication of data and official findings of misconduct. As the underlying dataset was fabricated, the statistical significance and reported efficacy rates (such as the 98% complete response) are fictitious, rendering the conclusion scientifically invalid.",fabrication_or_manipulation,fabrication_or_manipulation,No,No,,fabrication_or_manipulation
44,Ramosetron vs granisetron for the prevention of postoperative nausea and vomiting after laparoscopic cholecystectomy,"The paper was retracted due to overwhelming evidence of data fabrication and falsification, confirmed by an official investigation that found the reported variable distributions to be exceedingly unlikely. Consequently, the conclusion regarding the superior efficacy of ramosetron is based on fraudulent data and is completely invalid.",fabrication_or_manipulation,fabrication_or_manipulation,No,No,,fabrication_or_manipulation
45,Effects of valsartan on morbidity and mortality in uncontrolled hypertensive patients with high cardiovascular risks: KYOTO heart study,"The retraction notice cites critical problems with the reported data. Since the conclusion relies entirely on specific statistical comparisons of event rates (specifically the hazard ratio of 0.55), these fundamental data errors render the study's results and the claimed protective benefits invalid.",other_or_unclassified,other_or_unclassified,No,No,,other_or_unclassified
46,Granisetron-dexamethasone combination reduces postoperative nausea and vomiting,"The paper was retracted due to overwhelming evidence of data fabrication and findings that the reported variable distributions were exceedingly unlikely. Since the clinical data supporting the reduced incidence of nausea and vomiting were falsified, the conclusion regarding the superiority of the combination therapy is baseless and unreliable.",fabrication_or_manipulation,fabrication_or_manipulation,No,No,,fabrication_or_manipulation
47,Optimal anti-emetic dose of granisetron for preventing postoperative nausea and vomiting,"The paper was retracted due to overwhelming evidence of data fabrication and the institution's inability to attest to the integrity of the study, meaning the reported efficacy of the specific dosages is based on falsified data and is fundamentally unreliable.",fabrication_or_manipulation,fabrication_or_manipulation,No,No,,fabrication_or_manipulation
48,The efficacy of oral clonidine premedication in the prevention of postoperative vomiting in children following strabismus surgery,"The paper was retracted due to overwhelming evidence of data fabrication and falsification, specifically noting that the variable distributions reported could not have occurred by chance. As the underlying data regarding the efficacy of clonidine vs. diazepam was fabricated and the study lacked verified ethical approval, the conclusion is entirely unreliable and invalid.",fabrication_or_manipulation,fabrication_or_manipulation,No,No,,fabrication_or_manipulation
49,The effects of dexamethasone on antiemetics in female patients undergoing gynecologic surgery,"The paper was retracted due to the falsification and fabrication of data; as the underlying patient data and results were fabricated, the reported statistical significance and the conclusion regarding the enhanced efficacy of the drug combination are scientifically invalid.",fabrication_or_manipulation,fabrication_or_manipulation,No,No,,fabrication_or_manipulation
50,Outcome of short proximal femoral nail antirotation and dynamic hip screw for fixation of unstable trochanteric fractures,"The retraction invalidates the conclusion because it cites specific data errors (inaccurate mean ages and study dates), flaws in study methodology, and a lack of genuine ethical approval (IRB). These fundamental issues undermine the credibility of the reported clinical statistics, such as operative times and complication rates, making the comparison between PFNA and DHS unreliable.",misconduct_or_ethics,misconduct_or_ethics,No,No,,misconduct_or_ethics
51,Long-term survival results of a randomized trial comparing gemcitabine/cisplatin and methotrexate/vinblastine/doxorubicin/cisplatin in patients with locally advanced and metastatic bladder cancer,"The retraction was issued solely due to redundant publication (duplication) of an article previously published in the Journal of Clinical Oncology; therefore, the scientific validity of the data and conclusions remains intact, though they should be cited via the original primary publication.",duplication_or_overlap,duplication_or_overlap,No,No,,duplication_or_overlap
52,Influence of volume therapy with a modern hydroxyethylstarch preparation on kidney function in cardiac surgery patients with compromised renal function: a comparison with human albumin,"The retraction cites misconduct and a lack of IRB approval, with official investigations deeming the manuscript compromised; consequently, the data indicating HES 130/0.4 is safe or superior to albumin cannot be trusted and are likely invalid.",misconduct_or_ethics,misconduct_or_ethics,No,No,,misconduct_or_ethics
53,Influence of a new hydroxyethylstarch preparation (HES 130/0.4) on coagulation in cardiac surgical patients,"The paper was retracted due to an official finding of misconduct and a failure to obtain Institutional Review Board (IRB) approval. The lack of ethical oversight and the confirmed misconduct undermine the integrity of the data and study design, rendering the conclusion regarding the safety of HES 130/0.4 unreliable and scientifically void.",misconduct_or_ethics,misconduct_or_ethics,No,No,,misconduct_or_ethics
54,"Valsartan in a Japanese population with hypertension and other cardiovascular disease (Jikei Heart Study): a randomised, open-label, blinded endpoint morbidity-mortality study","The retraction was issued due to findings that blood pressure data were unreliable and likely intentionally altered during statistical analysis performed by an undisclosed pharmaceutical company employee. As the study's central claim—that valsartan offers benefits 'beyond blood pressure lowering'—depends entirely on the comparison of blood pressure levels between groups, the fabrication of this specific data renders the conclusion regarding unique cardiovascular protection invalid.",fabrication_or_manipulation,fabrication_or_manipulation,No,No,,fabrication_or_manipulation
55,"A comparison of nefopam and clonidine for the prevention of postanaesthetic shivering: a comparative, double-blind and placebo-controlled dose-ranging study","The study was retracted due to a confirmed lack of ethical (IRB) approval and misconduct. Medical research conducted without ethical oversight is fundamentally invalid, and the data integrity cannot be assured, meaning the claimed safety and efficacy advantages of nefopam are unreliable.",fabrication_or_manipulation,fabrication_or_manipulation,No,No,,fabrication_or_manipulation
56,Nefopam and clonidine in the prevention of postanaesthetic shivering,"The retraction cites official findings of misconduct and a lack of required ethical approval (IRB). The absence of ethical oversight and the confirmation of misconduct invalidate the study's design and execution, making the reported clinical data and the resulting comparison between nefopam and clonidine unreliable.",misconduct_or_ethics,misconduct_or_ethics,No,No,,misconduct_or_ethics
57,Influence of two different volume replacement regimens on renal function in elderly patients undergoing cardiac surgery: comparison of a new starch preparation with gelatin,"The paper was retracted due to ethical violations involving the misrepresentation of Institutional Review Board (IRB) approval and concerns regarding data integrity. Consequently, the reported clinical equivalence and safety data for HES 130/0.4 cannot be verified or trusted.",fabrication_or_manipulation,fabrication_or_manipulation,No,No,,fabrication_or_manipulation
58,Bispectral index in patients with target-controlled or manually-controlled infusion of propofol,"The retraction cites official investigations confirming misconduct and a lack of IRB approval. These serious ethical and procedural violations compromise the integrity of the data collected, rendering the statistical comparisons regarding drug consumption, costs, and recovery metrics unreliable and invalidating the study's claims.",misconduct_or_ethics,misconduct_or_ethics,No,No,,misconduct_or_ethics
59,"Is albumin administration in hypoalbuminemic elderly cardiac surgery patients of benefit with regard to inflammation, endothelial activation, and long-term kidney function?","The retraction cites ethical violations, lack of IRB approval, and official findings of misconduct; these fundamental breaches of integrity suggest the study data was likely fabricated or unreliable, fully invalidating the conclusion that hydroxyethyl starch is comparable or superior to albumin.",fabrication_or_manipulation,fabrication_or_manipulation,No,No,,fabrication_or_manipulation
60,Cardiopulmonary bypass priming using a high dose of a balanced hydroxyethyl starch versus an albumin-based priming strategy,"The paper was retracted due to findings of data falsification and fabrication, as well as a lack of IRB approval and informed consent. Investigations revealed that the reported randomization did not occur and suggested the study may not have been performed at all; therefore, the data supporting the clinical benefits of HES are fraudulent and the conclusion is completely unreliable.",fabrication_or_manipulation,fabrication_or_manipulation,No,No,,fabrication_or_manipulation
61,Tai chi improves physical function in older Chinese women with knee osteoarthritis,"The retraction notice states that the author's institution could not provide documentation proving the research was actually conducted, suggesting data fabrication. Consequently, the reported statistical improvements and the overall conclusion regarding the efficacy of Tai Chi are invalid as they appear to be based on non-existent or unverified data.",fabrication_or_manipulation,fabrication_or_manipulation,No,No,,fabrication_or_manipulation
62,Combination treatment of angiotensin-II receptor blocker and angiotensin-converting-enzyme inhibitor in non-diabetic renal disease (COOPERATE): a randomised controlled trial,"The retraction fundamentally invalidates the conclusion because an institutional investigation revealed the study was not double-blind as claimed, the lead author was aware of treatment allocations, and the authenticity of the medical data could not be verified.",misconduct_or_ethics,misconduct_or_ethics,No,No,,misconduct_or_ethics
63,Single autologous stem-cell transplantation followed by maintenance therapy with thalidomide is superior to double autologous transplantation in multiple myeloma: results of a multicenter randomized clinical trial,"The retraction states that the initial data were inappropriately collected and acknowledges errors in both data and methods. As the study's conclusion of superiority relies entirely on the statistical comparison of these specific datasets (showing significantly better outcomes for the single-transplant arm), the invalidity of the underlying data renders the reported clinical benefits and the study's main claim unreliable.",other_or_unclassified,other_or_unclassified,No,No,,other_or_unclassified
64,Chemoembolization combined with radiofrequency ablation for patients with hepatocellular carcinoma larger than 3 cm,"The conclusion is rendered invalid because an institutional investigation revealed that the study was not a properly designed randomized controlled trial as claimed, lacked ethical approval, and raised serious concerns regarding data integrity and the veracity of the reported results.",fabrication_or_manipulation,fabrication_or_manipulation,No,No,,fabrication_or_manipulation
65,A prospective randomized trial on the role of perioperative celecoxib administration for total knee arthroplasty: improving clinical outcomes,"The paper was retracted because an investigation revealed that the lead author, Dr. Scott Reuben, fabricated the data reported in the study. Since the clinical trial data does not genuinely exist, the claims regarding improved pain relief and knee function are fraudulent and completely unreliable.",fabrication_or_manipulation,fabrication_or_manipulation,No,No,,fabrication_or_manipulation
66,Postoperative analgesic effects of celecoxib or rofecoxib after spinal fusion surgery,"The retraction was issued due to the fabrication of data by the lead author, Dr. Scott Reuben. As the patient data regarding morphine consumption and pain scores were falsified, the reported statistical significance and the resulting clinical recommendations regarding the efficacy of rofecoxib versus celecoxib are grounded in non-existent evidence and are therefore completely unreliable.",fabrication_or_manipulation,fabrication_or_manipulation,No,No,,fabrication_or_manipulation
67,Effects of whey peptides on cardiovascular disease risk factors,"The paper was retracted because an institutional investigation found the author committed academic misconduct by falsifying data. Consequently, the reported statistical reductions in blood pressure and cholesterol are fabricated, rendering the conclusion regarding the efficacy of whey peptides completely unreliable.",fabrication_or_manipulation,fabrication_or_manipulation,No,No,,fabrication_or_manipulation
68,"Comparison of sucrose, expressed breast milk, and breast-feeding on the neonatal response to heel prick","The retraction was issued solely because the data was a duplicate publication of an article previously published in the European Journal of Pediatrics. Consequently, the scientific validity of the data and conclusions remains intact, but this specific instance of the paper is removed to correct the publication record.",duplication_or_overlap,duplication_or_overlap,No,No,,duplication_or_overlap
69,Can fresh embryo transfers be replaced by cryopreserved-thawed embryo transfers in assisted reproductive cycles? A randomized controlled trial,"The retraction cites serious methodological flaws and errors in methods found during an investigation. Because the conclusion relies entirely on the accuracy of the trial design and statistical analysis, these fundamental flaws render the reported superiority of frozen embryo transfers unreliable and invalid.",other_or_unclassified,other_or_unclassified,No,No,,other_or_unclassified
70,"Effect of whole-body vibration exercise on lumbar bone mineral density, bone turnover, and chronic back pain in post-menopausal osteoporotic women treated with alendronate","The retraction cites confirmed data inaccuracies and misconduct following an institutional investigation, stating that the original data is unavailable for verification. This explicitly undermines the statistical validity of the reported improvements in back pain and the comparative analysis of bone parameters, rendering the conclusions scientifically unreliable.",misconduct_or_ethics,misconduct_or_ethics,No,No,,misconduct_or_ethics
71,A prospective randomized trial comparing tension-free vaginal tape and transobturator suburethral tape for surgical treatment of stress urinary incontinence,"The paper was retracted due to severe ethical violations, specifically the failure to obtain mandatory IRB approval and misleading the journal regarding this oversight. While the retraction does not explicitly cite data fabrication, clinical trials conducted without confirmed ethical approval are considered scientifically and legally invalid, rendering the conclusions inadmissible for medical practice.",fabrication_or_manipulation,fabrication_or_manipulation,No,No,,fabrication_or_manipulation
72,"The effect of spironolactone, cilazapril and their combination on albuminuria in patients with hypertension and diabetic nephropathy is independent of blood pressure reduction: a randomized controlled study",The retraction was issued because the investigators were unable to access research records to confirm the results and found that ethical approval was not obtained until after the paper was accepted. The inability to verify the raw data fundamentally undermines the reliability of the reported clinical outcomes and the validity of the conclusion.,misconduct_or_ethics,misconduct_or_ethics,No,No,,misconduct_or_ethics
73,Primary prevention of cardiovascular disease with a Mediterranean diet,"The retraction cites irregularities in the randomization procedures, which are fundamental to the validity of a randomized controlled trial. These methodological errors undermine the reliability of the original statistical analysis and results, requiring a reanalysis of the data and the publication of a replacement report to correct the flaws.",randomisation_irregularities,randomisation_irregularities,Yes,No,10.1056/NEJMoa1800389,randomisation_irregularities
