item_id,study_title,polluted_count,recognised_count,neutral_count,model_count,polluted_rate,recognised_rate,Title_New,citations,retraction_date_meta,theme,theme_assignment_method,Condition (disease),years_since_retraction
26,Low-dose vitamin D prevents muscular atrophy and reduces falls and hip fractures in women after stroke: a randomized controlled trial,10,0,4,14,0.7142857142857143,0.0,Low-dose vitamin D prevents muscular atrophy and reduces falls and hip fractures in women after stroke: a randomized controlled trial,597,2017-09-23,Vitamin D supplementation,locked 100-item mapping,Hip fractures in women after stroke,8.93908281998631
27,Amelioration of osteopenia and hypovitaminosis D by 1α-hydroxyvitamin D3 in elderly patients with Parkinson’s disease,10,1,3,14,0.7142857142857143,0.07142857142857142,Amelioration of osteopenia and hypovitaminosis D by 1¦Á-hydroxyvitamin D3 in elderly patients with Parkinson¡¯s disease,161,2017-08-28,Vitamin D supplementation,locked 100-item mapping,Parkinson¡¯s disease,9.010266940451745
28,Effects of decontamination of the oropharynx and intestinal tract on antibiotic resistance in ICUs: a randomized clinical trial,8,0,6,14,0.5714285714285714,0.0,Effects of decontamination of the oropharynx and intestinal tract on antibiotic resistance in ICUs: a randomized clinical trial,199,2017-04-18,Critical care & infection,locked 100-item mapping,Antibiotic resistance,9.371663244353183
29,Risedronate therapy for prevention of hip fracture after stroke in elderly women,10,2,2,14,0.7142857142857143,0.14285714285714285,Risedronate therapy for prevention of hip fracture after stroke in elderly women,109,2016-07-12,Musculoskeletal & fracture,locked 100-item mapping,Hip fracture after stroke,10.13826146475017
30,Pain management after total knee arthroplasty using a multimodal approach,0,0,14,14,0.0,0.0,Pain management after total knee arthroplasty using a multimodal approach,86,2016-07-01,Musculoskeletal & fracture,locked 100-item mapping,Total knee arthroplasty,10.168377823408624
31,Effect of folate and mecobalamin on hip fractures in patients with stroke: a randomized controlled trial,10,3,1,14,0.7142857142857143,0.21428571428571427,Effect of folate and mecobalamin on hip fractures in patients with stroke: a randomized controlled trial,428,2016-06-14,Musculoskeletal & fracture,locked 100-item mapping,Hip fractures in patients with stroke,10.21492128678987
32,Nuts as a replacement for carbohydrates in the diabetic diet,13,0,1,14,0.9285714285714286,0.0,Nuts as a replacement for carbohydrates in the diabetic diet,166,2016-02-01,Diabetes & metabolic,locked 100-item mapping,Diabetic diet,10.581793292265571
33,Effect of vitamin and trace-element supplementation on immune responses and infection in elderly subjects,7,2,5,14,0.5,0.14285714285714285,Effect of vitamin and trace-element supplementation on immune responses and infection in elderly subjects,841,2016-01-20,Other,locked 100-item mapping,Immune responses and infection,10.614647501711156
34,Effect of perindopril on large artery stiffness and aortic root diameter in patients with Marfan syndrome: a randomized controlled trial,11,0,3,14,0.7857142857142857,0.0,Effect of perindopril on large artery stiffness and aortic root diameter in patients with Marfan syndrome: a randomized controlled trial,239,2015-12-22,Cardiovascular & hypertension,locked 100-item mapping,Marfan syndrome,10.694045174537989
35,The effects of albumin versus hydroxyethyl starch solution on cardiorespiratory and circulatory variables in critically ill patients,0,0,14,14,0.0,0.0,The effects of albumin versus hydroxyethyl starch solution on cardiorespiratory and circulatory variables in critically ill patients,193,2014-11-01,Volume therapy & colloids,locked 100-item mapping,Cardiorespiratory and circulatory variables,11.832991101984941
36,"A randomized, double-blind, placebo-controlled study assessing the anti-inflammatory effects of ketamine in cardiac surgical patients",4,0,10,14,0.2857142857142857,0.0,"A randomized, double-blind, placebo-controlled study assessing the anti-inflammatory effects of ketamine in cardiac surgical patients",104,2014-10-01,Perioperative pain & anesthesia,locked 100-item mapping,Cardiac surgical,11.917864476386036
37,"Manuka honey vs. hydrogel - a prospective, open label, multicentre, randomised controlled trial to compare desloughing efficacy and healing outcomes in venous ulcers",9,0,5,14,0.6428571428571429,0.0,"Manuka honey vs. hydrogel - a prospective, open label, multicentre, randomised controlled trial to compare desloughing efficacy and healing outcomes in venous ulcers",217,2014-07-02,Other,locked 100-item mapping,Venous leg ulcer,12.167008898015059
38,Influence of different volume therapy regimens on regulators of the circulation in the critically ill,0,0,14,14,0.0,0.0,Influence of different volume therapy regimens on regulators of the circulation in the critically ill,97,2014-02-01,Volume therapy & colloids,locked 100-item mapping,Critically ill patients,12.580424366872005
39,Volume therapy in the critically ill: is there a difference?,0,1,13,14,0.0,0.07142857142857142,Volume therapy in the critically ill: is there a difference?,174,2013-11-23,Volume therapy & colloids,locked 100-item mapping,Critically ill,12.772073921971252
40,Colorectal infraperitoneal anastomosis: the effects of perioperative supplemental oxygen administration on the anastomotic dehiscence,1,0,13,14,0.07142857142857142,0.0,Colorectal infraperitoneal anastomosis: the effects of perioperative supplemental oxygen administration on the anastomotic dehiscence,66,2013-11-13,Gastrointestinal,locked 100-item mapping,Anastomotic dehiscence,12.799452429842573
41,CPAP for the metabolic syndrome in patients with obstructive sleep apnea,7,0,7,14,0.5,0.0,CPAP for the metabolic syndrome in patients with obstructive sleep apnea,510,2013-10-21,Diabetes & metabolic,locked 100-item mapping,Obstructive sleep apnea,12.862422997946611
42,Physical activity within a CBT intervention improves coping with pain in traumatized refugees: results of a randomized controlled design,5,0,9,14,0.35714285714285715,0.0,Physical activity within a CBT intervention improves coping with pain in traumatized refugees: results of a randomized controlled design,96,2013-10-01,Other,locked 100-item mapping,Posttraumatic stress disorder and chronic pain,12.917180013689254
43,Granisetron/dexamethasone combination for the prevention of postoperative nausea and vomiting after laparoscopic cholecystectomy,4,3,7,14,0.2857142857142857,0.21428571428571427,Granisetron/dexamethasone combination for the prevention of postoperative nausea and vomiting after laparoscopic cholecystectomy,97,2013-05-01,PONV & perioperative antiemetics,locked 100-item mapping,Laparoscopic cholecystectomy,13.336071184120465
44,Ramosetron vs granisetron for the prevention of postoperative nausea and vomiting after laparoscopic cholecystectomy,3,0,11,14,0.21428571428571427,0.0,Ramosetron vs granisetron for the prevention of postoperative nausea and vomiting after laparoscopic cholecystectomy,68,2013-04-27,PONV & perioperative antiemetics,locked 100-item mapping,Laparoscopic cholecystectomy,13.347022587268993
45,Effects of valsartan on morbidity and mortality in uncontrolled hypertensive patients with high cardiovascular risks: KYOTO heart study,2,5,7,14,0.14285714285714285,0.35714285714285715,Effects of valsartan on morbidity and mortality in uncontrolled hypertensive patients with high cardiovascular risks: KYOTO heart study,239,2013-02-01,Cardiovascular & hypertension,locked 100-item mapping,High cardiovascular risks,13.579739904175222
46,Granisetron-dexamethasone combination reduces postoperative nausea and vomiting,4,1,9,14,0.2857142857142857,0.07142857142857142,Granisetron-dexamethasone combination reduces postoperative nausea and vomiting,74,2012-11-27,PONV & perioperative antiemetics,locked 100-item mapping,Postoperative nausea and vomiting,13.760438056125942
47,Optimal anti-emetic dose of granisetron for preventing postoperative nausea and vomiting,5,3,6,14,0.35714285714285715,0.21428571428571427,Optimal anti-emetic dose of granisetron for preventing postoperative nausea and vomiting,94,2012-11-27,PONV & perioperative antiemetics,locked 100-item mapping,Post-operative nausea and vomiting,13.760438056125942
48,The efficacy of oral clonidine premedication in the prevention of postoperative vomiting in children following strabismus surgery,1,0,13,14,0.07142857142857142,0.0,The efficacy of oral clonidine premedication in the prevention of postoperative vomiting in children following strabismus surgery,67,2012-10-21,Perioperative pain & anesthesia,locked 100-item mapping,Postoperative vomiting in children following strabismus surgery,13.86173853524983
49,The effects of dexamethasone on antiemetics in female patients undergoing gynecologic surgery,5,1,8,14,0.35714285714285715,0.07142857142857142,The effects of dexamethasone on antiemetics in female patients undergoing gynecologic surgery,157,2012-10-01,PONV & perioperative antiemetics,locked 100-item mapping,Gynecologic surgery,13.91649555099247
50,Outcome of short proximal femoral nail antirotation and dynamic hip screw for fixation of unstable trochanteric fractures,1,0,13,14,0.07142857142857142,0.0,Outcome of short proximal femoral nail antirotation and dynamic hip screw for fixation of unstable trochanteric fractures. A randomised prospective comparative trial,130,2012-08-31,Musculoskeletal & fracture,locked 100-item mapping,Unstable trochanteric fractures,14.001368925393566
51,Long-term survival results of a randomized trial comparing gemcitabine/cisplatin and methotrexate/vinblastine/doxorubicin/cisplatin in patients with locally advanced and metastatic bladder cancer,1,0,13,14,0.07142857142857142,0.0,Long-term survival results of a randomized trial comparing gemcitabine/cisplatin and methotrexate/vinblastine/doxorubicin/cisplatin in patients with locally advanced and metastatic bladder cancer,153,2011-11-01,Other,locked 100-item mapping,Locally advanced and metastatic bladder cancer,14.833675564681725
52,Influence of volume therapy with a modern hydroxyethylstarch preparation on kidney function in cardiac surgery patients with compromised renal function: a comparison with human albumin,0,3,11,14,0.0,0.21428571428571427,Influence of volume therapy with a modern hydroxyethylstarch preparation on kidney function in cardiac surgery patients with compromised renal function: a comparison with human albumin,138,2011-10-01,Volume therapy & colloids,locked 100-item mapping,Kidney dysfunction cardiac surgery,14.91854893908282
53,Influence of a new hydroxyethylstarch preparation (HES 130/0.4) on coagulation in cardiac surgical patients,0,0,14,14,0.0,0.0,Influence of a new hydroxyethylstarch preparation (HES 130/0.4) on coagulation in cardiac surgical patients,144,2011-09-10,Volume therapy & colloids,locked 100-item mapping,Cardiac surgery,14.976043805612594
54,"Valsartan in a Japanese population with hypertension and other cardiovascular disease (Jikei Heart Study): a randomised, open-label, blinded endpoint morbidity-mortality study",7,3,4,14,0.5,0.21428571428571427,"Valsartan in a Japanese population with hypertension and other cardiovascular disease (Jikei Heart Study): a randomised, open-label, blinded endpoint morbidity-mortality study",528,2011-09-07,Cardiovascular & hypertension,locked 100-item mapping,Hypertension and other cardiovascular disease,14.984257357973991
55,"A comparison of nefopam and clonidine for the prevention of postanaesthetic shivering: a comparative, double-blind and placebo-controlled dose-ranging study",1,0,13,14,0.07142857142857142,0.0,"A comparison of nefopam and clonidine for the prevention of postanaesthetic shivering: a comparative, double-blind and placebo-controlled dose-ranging study",71,2011-06-21,Perioperative pain & anesthesia,locked 100-item mapping,Postanaesthetic shivering,15.197809719370294
56,Nefopam and clonidine in the prevention of postanaesthetic shivering,5,0,9,14,0.35714285714285715,0.0,Nefopam and clonidine in the prevention of postanaesthetic shivering,125,2011-06-21,Perioperative pain & anesthesia,locked 100-item mapping,Postanaesthetic shivering,15.197809719370294
57,Influence of two different volume replacement regimens on renal function in elderly patients undergoing cardiac surgery: comparison of a new starch preparation with gelatin,1,0,13,14,0.07142857142857142,0.0,Influence of two different volume replacement regimens on renal function in elderly patients undergoing cardiac surgery: comparison of a new starch preparation with gelatin,173,2011-05-21,Volume therapy & colloids,locked 100-item mapping,Cardiac surgery,15.28268309377139
58,Bispectral index in patients with target-controlled or manually-controlled infusion of propofol,3,0,11,14,0.21428571428571427,0.0,Bispectral index in patients with target-controlled or manually-controlled infusion of propofol,76,2011-05-01,Perioperative pain & anesthesia,locked 100-item mapping,Infusion of propofol,15.33744010951403
59,"Is albumin administration in hypoalbuminemic elderly cardiac surgery patients of benefit with regard to inflammation, endothelial activation, and long-term kidney function?",0,1,13,14,0.0,0.07142857142857142,"Is albumin administration in hypoalbuminemic elderly cardiac surgery patients of benefit with regard to inflammation, endothelial activation, and long-term kidney function?",67,2011-05-01,Volume therapy & colloids,locked 100-item mapping,Cardiac surgery,15.33744010951403
60,Cardiopulmonary bypass priming using a high dose of a balanced hydroxyethyl starch versus an albumin-based priming strategy,0,0,14,14,0.0,0.0,Cardiopulmonary bypass priming using a high dose of a balanced hydroxyethyl starch versus an albumin-based priming strategy,92,2010-12-01,Volume therapy & colloids,locked 100-item mapping,Coronary artery bypass grafting,15.75085557837098
61,Tai chi improves physical function in older Chinese women with knee osteoarthritis,0,0,14,14,0.0,0.0,Tai chi improves physical function in older Chinese women with knee osteoarthritis,82,2010-10-01,Musculoskeletal & fracture,locked 100-item mapping,Older chinese women with knee osteoarthritis,15.917864476386036
62,Combination treatment of angiotensin-II receptor blocker and angiotensin-converting-enzyme inhibitor in non-diabetic renal disease (COOPERATE): a randomised controlled trial,0,9,5,14,0.0,0.6428571428571429,Combination treatment of angiotensin-II receptor blocker and angiotensin-converting-enzyme inhibitor in non-diabetic renal disease (COOPERATE): a randomised controlled trial,1486,2009-10-10,Cardiovascular & hypertension,locked 100-item mapping,Non-diabetic renal disease,16.892539356605067
63,Single autologous stem-cell transplantation followed by maintenance therapy with thalidomide is superior to double autologous transplantation in multiple myeloma: results of a multicenter randomized clinical trial,0,0,14,14,0.0,0.0,Single autologous stem-cell transplantation followed by maintenance therapy with thalidomide is superior to double autologous transplantation in multiple myeloma: results of a multicenter randomized clinical trial,151,2009-06-11,Other,locked 100-item mapping,Multiple myeloma,17.22381930184805
64,Chemoembolization combined with radiofrequency ablation for patients with hepatocellular carcinoma larger than 3 cm,1,0,13,14,0.07142857142857142,0.0,Chemoembolization combined with radiofrequency ablation for patients with hepatocellular carcinoma larger than 3 cm,261,2009-05-13,Other,locked 100-item mapping,Hepatocellular carcinoma,17.30321697467488
65,A prospective randomized trial on the role of perioperative celecoxib administration for total knee arthroplasty: improving clinical outcomes,0,0,14,14,0.0,0.0,A prospective randomized trial on the role of perioperative celecoxib administration for total knee arthroplasty: improving clinical outcomes,79,2009-04-01,Musculoskeletal & fracture,locked 100-item mapping,Total knee arthroplasty,17.418206707734427
66,Postoperative analgesic effects of celecoxib or rofecoxib after spinal fusion surgery,6,5,3,14,0.42857142857142855,0.35714285714285715,Postoperative analgesic effects of celecoxib or rofecoxib after spinal fusion surgery,362,2009-04-01,Perioperative pain & anesthesia,locked 100-item mapping,Spinal fusion surgery,17.418206707734427
67,Effects of whey peptides on cardiovascular disease risk factors,4,0,10,14,0.2857142857142857,0.0,Effects of whey peptides on cardiovascular disease risk factors,129,2008-08-01,Cardiovascular & hypertension,locked 100-item mapping,Cardiovascular disease,18.083504449007528
68,"Comparison of sucrose, expressed breast milk, and breast-feeding on the neonatal response to heel prick",1,0,13,14,0.07142857142857142,0.0,"Comparison of sucrose, expressed breast milk, and breast-feeding on the neonatal response to heel prick",119,2003-08-29,Other,locked 100-item mapping,The neonatal response to heel prick,23.00889801505818
69,Can fresh embryo transfers be replaced by cryopreserved-thawed embryo transfers in assisted reproductive cycles? A randomized controlled trial,0,0,14,14,0.0,0.0,Can fresh embryo transfers be replaced by cryopreserved-thawed embryo transfers in assisted reproductive cycles? A randomized controlled trial,186,2013-08-23,Other,locked 100-item mapping,Assisted reproductive cycles,13.023956194387406
70,"Effect of whole-body vibration exercise on lumbar bone mineral density, bone turnover, and chronic back pain in post-menopausal osteoporotic women treated with alendronate",5,0,9,14,0.35714285714285715,0.0,"Effect of whole-body vibration exercise on lumbar bone mineral density, bone turnover, and chronic back pain in post-menopausal osteoporotic women treated with alendronate",249,2019-10-22,Musculoskeletal & fracture,locked 100-item mapping,Post-menopausal osteoporotic,6.861054072553046
71,A prospective randomized trial comparing tension-free vaginal tape and transobturator suburethral tape for surgical treatment of stress urinary incontinence,0,0,14,14,0.0,0.0,A prospective randomized trial comparing tension-free vaginal tape and transobturator suburethral tape for surgical treatment of stress urinary incontinence,406,2005-02-01,Other,locked 100-item mapping,Stress urinary incontinence,21.579739904175224
72,"The effect of spironolactone, cilazapril and their combination on albuminuria in patients with hypertension and diabetic nephropathy is independent of blood pressure reduction: a randomized controlled study",4,0,10,14,0.2857142857142857,0.0,"The effect of spironolactone, cilazapril and their combination on albuminuria in patients with hypertension and diabetic nephropathy is independent of blood pressure reduction: a randomized controlled study",199,2006-06-28,Cardiovascular & hypertension,locked 100-item mapping,Hypertension and diabetic nephropathy,20.177960301163587
73,Primary prevention of cardiovascular disease with a Mediterranean diet,13,1,0,14,0.9285714285714286,0.07142857142857142,Primary prevention of cardiovascular disease with a Mediterranean diet,5984,2018-06-13,Cardiovascular & hypertension,locked 100-item mapping,Cardiovascular disease,8.219028062970569
74,Antenatal corticosteroid administration before elective caesarean section at term to prevent neonatal respiratory morbidity: a randomized controlled trial,0,0,14,14,0.0,0.0,Antenatal corticosteroid administration before elective caesarean section at term to prevent neonatal respiratory morbidity: a randomized controlled trial,68,2022-05-04,Pregnancy & reproductive,locked 100-item mapping,Elective caesarean section,4.328542094455853
75,"Oral dydrogesterone treatment during early pregnancy to prevent recurrent pregnancy loss and its role in modulation of cytokine production: a double-blind, randomized, parallel, placebo-controlled trial",7,0,7,14,0.5,0.0,"Oral dydrogesterone treatment during early pregnancy to prevent recurrent pregnancy loss and its role in modulation of cytokine production: a double-blind, randomized, parallel, placebo-controlled trial",138,2023-02-28,Pregnancy & reproductive,locked 100-item mapping,Recurrent pregnancy,3.5071868583162216
76,Colon and rectal surgery for cancer without mechanical bowel preparation: one-center randomized prospective trial,0,0,14,14,0.0,0.0,Colon and rectal surgery for cancer without mechanical bowel preparation: one-center randomized prospective trial,68,2012-09-18,Other,locked 100-item mapping,Colon and rectal surgery for cancer,13.952087611225188
77,Acamprosate and its efficacy in treating alcohol dependent adolescents,7,0,7,14,0.5,0.0,Acamprosate and its efficacy in treating alcohol dependent adolescents,78,2012-11-06,Other,locked 100-item mapping,Alcohol dependent,13.817932922655714
78,Comparison of ramosetron and granisetron for preventing postoperative nausea and vomiting after gynecologic surgery,3,1,10,14,0.21428571428571427,0.07142857142857142,Comparison of ramosetron and granisetron for preventing postoperative nausea and vomiting after gynecologic surgery,74,2013-03-01,PONV & perioperative antiemetics,locked 100-item mapping,Postoperative nausea and vomiting,13.503080082135524
79,The impact of nurse short message services and telephone follow-ups on diabetic adherence: which one is more effective?,4,0,10,14,0.2857142857142857,0.0,The impact of nurse short message services and telephone follow-ups on diabetic adherence: which one is more effective?,167,2016-06-01,Diabetes & metabolic,locked 100-item mapping,Diabetic adherence,10.250513347022586
80,Anastrozole or letrozole for ovulation induction in clomiphene-resistant women with polycystic ovarian syndrome: a prospective randomized trial,7,0,7,14,0.5,0.0,Anastrozole or letrozole for ovulation induction in clomiphene-resistant women with polycystic ovarian syndrome: a prospective randomized trial,114,2020-09-08,PCOS & ovulation induction,locked 100-item mapping,Polycystic ovarian syndrome,5.979466119096509
81,Reduction of microalbuminuria in patients with type 2 diabetes: the Shiga Microalbuminuria Reduction Trial (SMART),1,0,13,14,0.07142857142857142,0.0,Reduction of microalbuminuria in patients with type 2 diabetes: the Shiga Microalbuminuria Reduction Trial (SMART),66,2014-03-01,Diabetes & metabolic,locked 100-item mapping,Type 2 diabetes,12.503764544832306
82,Reduction of postoperative nausea and vomiting with granisetron,4,3,7,14,0.2857142857142857,0.21428571428571427,Reduction of postoperative nausea and vomiting with granisetron,69,2012-11-27,PONV & perioperative antiemetics,locked 100-item mapping,Postoperative nausea and vomiting,13.760438056125942
83,Evaluation of efficacy of the perioperative administration of venlafaxine XR in the prevention of postmastectomy pain syndrome,1,1,12,14,0.07142857142857142,0.07142857142857142,Evaluation of efficacy of the perioperative administration of venlafaxine XR in the prevention of postmastectomy pain syndrome,146,2009-05-01,Perioperative pain & anesthesia,locked 100-item mapping,Postmastectomy pain syndrome,17.336071184120467
