item_id,study_title,theme,theme_assignment_method
62,Combination treatment of angiotensin-II receptor blocker and angiotensin-converting-enzyme inhibitor in non-diabetic renal disease (COOPERATE): a randomised controlled trial,Cardiovascular & hypertension,locked 100-item mapping
63,Single autologous stem-cell transplantation followed by maintenance therapy with thalidomide is superior to double autologous transplantation in multiple myeloma: results of a multicenter randomized clinical trial,Other,locked 100-item mapping
64,Chemoembolization combined with radiofrequency ablation for patients with hepatocellular carcinoma larger than 3 cm,Other,locked 100-item mapping
65,A prospective randomized trial on the role of perioperative celecoxib administration for total knee arthroplasty: improving clinical outcomes,Musculoskeletal & fracture,locked 100-item mapping
66,Postoperative analgesic effects of celecoxib or rofecoxib after spinal fusion surgery,Perioperative pain & anesthesia,locked 100-item mapping
67,Effects of whey peptides on cardiovascular disease risk factors,Cardiovascular & hypertension,locked 100-item mapping
68,"Comparison of sucrose, expressed breast milk, and breast-feeding on the neonatal response to heel prick",Other,locked 100-item mapping
69,Can fresh embryo transfers be replaced by cryopreserved-thawed embryo transfers in assisted reproductive cycles? A randomized controlled trial,Other,locked 100-item mapping
70,"Effect of whole-body vibration exercise on lumbar bone mineral density, bone turnover, and chronic back pain in post-menopausal osteoporotic women treated with alendronate",Musculoskeletal & fracture,locked 100-item mapping
71,A prospective randomized trial comparing tension-free vaginal tape and transobturator suburethral tape for surgical treatment of stress urinary incontinence,Other,locked 100-item mapping
72,"The effect of spironolactone, cilazapril and their combination on albuminuria in patients with hypertension and diabetic nephropathy is independent of blood pressure reduction: a randomized controlled study",Cardiovascular & hypertension,locked 100-item mapping
73,Primary prevention of cardiovascular disease with a Mediterranean diet,Cardiovascular & hypertension,locked 100-item mapping
74,Antenatal corticosteroid administration before elective caesarean section at term to prevent neonatal respiratory morbidity: a randomized controlled trial,Pregnancy & reproductive,locked 100-item mapping
75,"Oral dydrogesterone treatment during early pregnancy to prevent recurrent pregnancy loss and its role in modulation of cytokine production: a double-blind, randomized, parallel, placebo-controlled trial",Pregnancy & reproductive,locked 100-item mapping
76,Colon and rectal surgery for cancer without mechanical bowel preparation: one-center randomized prospective trial,Other,locked 100-item mapping
77,Acamprosate and its efficacy in treating alcohol dependent adolescents,Other,locked 100-item mapping
78,Comparison of ramosetron and granisetron for preventing postoperative nausea and vomiting after gynecologic surgery,PONV & perioperative antiemetics,locked 100-item mapping
79,The impact of nurse short message services and telephone follow-ups on diabetic adherence: which one is more effective?,Diabetes & metabolic,locked 100-item mapping
80,Anastrozole or letrozole for ovulation induction in clomiphene-resistant women with polycystic ovarian syndrome: a prospective randomized trial,PCOS & ovulation induction,locked 100-item mapping
81,Reduction of microalbuminuria in patients with type 2 diabetes: the Shiga Microalbuminuria Reduction Trial (SMART),Diabetes & metabolic,locked 100-item mapping
82,Reduction of postoperative nausea and vomiting with granisetron,PONV & perioperative antiemetics,locked 100-item mapping
83,Evaluation of efficacy of the perioperative administration of venlafaxine XR in the prevention of postmastectomy pain syndrome,Perioperative pain & anesthesia,locked 100-item mapping
84,Prevention of propofol-induced injection pain by remifentanil: a placebo-controlled comparison with lidocaine,Perioperative pain & anesthesia,locked 100-item mapping
85,Brief communication: ramipril markedly improves walking ability in patients with peripheral arterial disease: a randomized trial,Cardiovascular & hypertension,locked 100-item mapping
86,Transcutaneous vagus nerve stimulation (tVNS) enhances response selection during action cascading processes,Neurology,locked 100-item mapping
87,Length of survival and lymphocyte percentage in women with mammary cancer as a function of psychotherapy,Other,locked 100-item mapping
88,Mobile phone text messaging and Telephone follow-up in type 2 diabetic patients for 3 months: a comparative study,Diabetes & metabolic,locked 100-item mapping
89,"The efficacy and safety of diacerein in the treatment of painful osteoarthritis of the knee: a randomized, multicenter, double-blind, placebo-controlled study with primary end points at two months after the end of a three-month treatment period",Musculoskeletal & fracture,locked 100-item mapping
90,Gonadotropin-releasing hormone agonists for prevention of chemotherapy-induced ovarian damage: prospective randomized study,Other,locked 100-item mapping
91,Combined coenzyme q10 and clomiphene citrate for ovulation induction in clomiphene-citrate-resistant polycystic ovary syndrome,PCOS & ovulation induction,locked 100-item mapping
92,Does a single endometrial biopsy regimen (s-ebr) improve icsi outcome in patients with repeated implantation failure? A randomised controlled trial,Pregnancy & reproductive,locked 100-item mapping
93,Adding l-carnitine to clomiphene resistant pcos women improves the quality of ovulation and the pregnancy rate,PCOS & ovulation induction,locked 100-item mapping
94,Role of phyto-oestrogens in ovulation induction in women with polycystic ovarian syndrome,PCOS & ovulation induction,locked 100-item mapping
95,Low-to-moderate intensity aerobic exercise training modulates irritable bowel syndrome through antioxidative and inflammatory mechanisms in women: results of a randomized controlled trial,Gastrointestinal,locked 100-item mapping
96,"Macitentan for the treatment of inoperable chronic thromboembolic pulmonary hypertension (merit-1): results from the multicentre, phase 2, randomised, double-blind, placebo-controlled study",Cardiovascular & hypertension,locked 100-item mapping
97,Volume therapy with a new hydroxyethyl starch solution in cardiac surgical patients before cardiopulmonary bypass,Volume therapy & colloids,locked 100-item mapping
98,Pain management in cardiac surgery patients: comparison between standard therapy and patient-controlled analgesia regimen,Perioperative pain & anesthesia,locked 100-item mapping
99,"Probiotic supplementation and the effects on weight loss, glycaemia and lipid profiles in women with polycystic ovary syndrome: a randomized, double-blind, placebo-controlled trial",PCOS & ovulation induction,locked 100-item mapping
100,Progesterone effects on preterm birth in high-risk pregnancies: a randomized placebo-controlled trial,Pregnancy & reproductive,locked 100-item mapping
