model,condition,source,route,model_id,start_end,settings,evidence_level,missing
deepseek-v4-flash,baseline,provenance://project-source/data/v2/trojan sensitivity dataset/dataset/benchmark_output_deepseek-v4-flash_baseline.json,Kaggle Benchmarks kbench.llm（reference.py代码路径；无原始generation run-log）,deepseek-v4-flash（source JSON）；不可变snapshot unknown,generation start/end unknown；source mtime=2026-06-21T13:25:43Z（仅文件mtime）,`llm.prompt(prompt)` under pinned Kaggle Benchmarks ab291417；wrapper default seed=0但不支持seed的backend会移除；Model Proxy不转发temperature；未提供max-token、自定义system prompt或tool definitions；provider-side built-ins unknown；final extraction按对应Kaggle task保存的user-visible response,来源JSON + 代码声明 + 仅文件mtime；无generation run-log,generation start UTC; generation end UTC; 不可变provider snapshot; web/retrieval/tools运行级确认; 实际backend采样默认值/内置工具状态
deepseek-v4-flash,safety,provenance://project-source/data/v2/trojan sensitivity dataset/dataset/benchmark_output_deepseek-v4-flash_safety.json,Kaggle Benchmarks kbench.llm（reference.py代码路径；无原始generation run-log）,deepseek-v4-flash（source JSON）；不可变snapshot unknown,generation start/end unknown；source mtime=2026-06-21T13:25:43Z（仅文件mtime）,`llm.prompt(prompt)` under pinned Kaggle Benchmarks ab291417；wrapper default seed=0但不支持seed的backend会移除；Model Proxy不转发temperature；未提供max-token、自定义system prompt或tool definitions；provider-side built-ins unknown；final extraction按对应Kaggle task保存的user-visible response,来源JSON + 代码声明 + 仅文件mtime；无generation run-log,generation start UTC; generation end UTC; 不可变provider snapshot; web/retrieval/tools运行级确认; 实际backend采样默认值/内置工具状态
deepseek-v4-pro,baseline,provenance://project-source/data/v2/trojan sensitivity dataset/answer_generation/dataset_regenerated_no_max_tokens/benchmark_output_deepseek-v4-pro_baseline.json,local Python → APIHub OpenAI-compatible relay → Azure（https://target-vector.services.ai.azure.com）；deployment=DeepSeek-V4 Pro；endpoint/deployment confirmed by author,Azure deployment `DeepSeek-V4 Pro`；canonical label=deepseek-v4-pro；不可变backend snapshot unknown,generation start/end unknown；output mtime=2026-08-12T07:48:11.343436Z（仅文件mtime）,temperature=0、seed=123、max_tokens参数省略（代码声明）；system prompt：请求代码无，仅user message；web/retrieval/tools：请求体未发送相关字段，provider侧状态unknown；final extraction：choices[0].message.content，空时退回reasoning_content，不解析answer:标签,作者确认 Azure endpoint/deployment + 输出JSON + 代码声明 + 仅文件mtime；无HTTP/run-log,generation start UTC; generation end UTC; 不可变provider snapshot; 参数与system prompt的运行级确认; provider侧web/retrieval/tools状态
deepseek-v4-pro,safety,provenance://project-source/data/v2/trojan sensitivity dataset/answer_generation/dataset_regenerated_no_max_tokens/benchmark_output_deepseek-v4-pro_safety.json,local Python → APIHub OpenAI-compatible relay → Azure（https://target-vector.services.ai.azure.com）；deployment=DeepSeek-V4 Pro；endpoint/deployment confirmed by author,Azure deployment `DeepSeek-V4 Pro`；canonical label=deepseek-v4-pro；不可变backend snapshot unknown,generation start/end unknown；output mtime=2026-08-12T09:05:34.000649Z（仅文件mtime）,temperature=0、seed=123、max_tokens参数省略（代码声明）；system prompt：请求代码无，仅user message；web/retrieval/tools：请求体未发送相关字段，provider侧状态unknown；final extraction：choices[0].message.content，空时退回reasoning_content，不解析answer:标签,作者确认 Azure endpoint/deployment + 输出JSON + 代码声明 + 仅文件mtime；无HTTP/run-log,generation start UTC; generation end UTC; 不可变provider snapshot; 参数与system prompt的运行级确认; provider侧web/retrieval/tools状态
gemini-2.5-flash,baseline,provenance://project-source/data/v2/trojan sensitivity dataset/dataset/benchmark_output_google_gemini-2.5-flash_baseline.json,Kaggle Benchmarks kbench.llm（reference.py代码路径；无原始generation run-log）,google/gemini-2.5-flash（source JSON）；不可变snapshot unknown,generation start/end unknown；source mtime=2026-06-21T13:25:43Z（仅文件mtime）,`llm.prompt(prompt)` under pinned Kaggle Benchmarks ab291417；wrapper default seed=0但不支持seed的backend会移除；Model Proxy不转发temperature；未提供max-token、自定义system prompt或tool definitions；provider-side built-ins unknown；final extraction按对应Kaggle task保存的user-visible response,来源JSON + 代码声明 + 仅文件mtime；无generation run-log,generation start UTC; generation end UTC; 不可变provider snapshot; web/retrieval/tools运行级确认; 实际backend采样默认值/内置工具状态
gemini-2.5-flash,safety,provenance://project-source/data/v2/trojan sensitivity dataset/dataset/benchmark_output_google_gemini-2.5-flash_safety.json,Kaggle Benchmarks kbench.llm（reference.py代码路径；无原始generation run-log）,google/gemini-2.5-flash（source JSON）；不可变snapshot unknown,generation start/end unknown；source mtime=2026-06-21T13:25:42Z（仅文件mtime）,`llm.prompt(prompt)` under pinned Kaggle Benchmarks ab291417；wrapper default seed=0但不支持seed的backend会移除；Model Proxy不转发temperature；未提供max-token、自定义system prompt或tool definitions；provider-side built-ins unknown；final extraction按对应Kaggle task保存的user-visible response,来源JSON + 代码声明 + 仅文件mtime；无generation run-log,generation start UTC; generation end UTC; 不可变provider snapshot; web/retrieval/tools运行级确认; 实际backend采样默认值/内置工具状态
google_gemini-3.1-pro-preview,baseline,provenance://project-source/data/v2/trojan sensitivity dataset/dataset/benchmark_output_google_gemini-3.1-pro-preview_baseline.json（原始99项） + provenance://project-source/data/v2/trojan sensitivity dataset/answer_generation/dataset_regenerated_part2/answer_generation_rerun_part2_google_gemini-3.1-pro-preview_baseline.json（ID 96）,Kaggle Benchmarks kbench.llm；ID96有generation run-log，其余99项仅原始source JSON/代码路径,google/gemini-3.1-pro-preview（source JSON及rerun modelVersion.slug）；不可变snapshot unknown,ID96 run-log: 2026-08-12T14:46:03.222573Z—2026-08-12T14:46:11.968752Z；其余99项generation unknown；base source mtime=2026-06-21T13:25:43Z（仅mtime）,`llm.prompt(prompt)` under pinned Kaggle Benchmarks ab291417；wrapper default seed=0但不支持seed的backend会移除；Model Proxy不转发temperature；未提供max-token、自定义system prompt或tool definitions；provider-side built-ins unknown；final extraction按对应Kaggle task保存的user-visible response,ID96：generation run-log + 代码；其余99项：来源JSON + 代码声明 + 仅mtime,其余99项generation start/end UTC; 不可变provider snapshot; Kaggle隐藏system prompt是否存在; Kaggle后台web/retrieval/tools开关; 实际backend采样默认值/内置工具状态
google_gemini-3.1-pro-preview,safety,provenance://project-source/data/v2/kaggle sensitivity/kaggle_benchmark_28x3_origindata/gpt55/t18_google_gemini-3.1-pro-preview_safety__gpt55__sv321785085.run.json（从judge prompt重建100项）,原始generation路由unknown；仅reference.py给出Kaggle kbench代码路径；现存文件是后续Kaggle judge run，不是generation run,google/gemini-3.1-pro-preview（任务名/重建结果）；不可变snapshot unknown,原始generation start/end unknown；承载回答的judge run=2026-05-24T11:05:28.631865Z—2026-05-24T11:13:34.980661Z（明确不是generation时间）,`llm.prompt(prompt)` under pinned Kaggle Benchmarks ab291417；wrapper default seed=0但不支持seed的backend会移除；Model Proxy不转发temperature；未提供max-token、自定义system prompt或tool definitions；provider-side built-ins unknown；final extraction按对应Kaggle task保存的user-visible response,judge run-log + 重建代码（只证明后续承载/提取）；原始generation证据缺失,原始answer-generation文件; 原始generation start UTC; 原始generation end UTC; 不可变provider snapshot; system prompt; web/retrieval/tools; 原始final-answer extraction机制; 实际backend采样默认值/内置工具状态
gpt-5.4-2026-03-05,baseline,provenance://project-source/data/v2/trojan sensitivity dataset/dataset/benchmark_output_openai_gpt-5.4-2026-03-05_baseline.json,Kaggle Benchmarks kbench.llm（reference.py代码路径；无原始generation run-log）,openai/gpt-5.4-2026-03-05（source JSON）；更底层provider snapshot unknown,generation start/end unknown；source mtime=2026-06-21T13:25:43Z（仅文件mtime）,`llm.prompt(prompt)` under pinned Kaggle Benchmarks ab291417；wrapper default seed=0但不支持seed的backend会移除；Model Proxy不转发temperature；未提供max-token、自定义system prompt或tool definitions；provider-side built-ins unknown；final extraction按对应Kaggle task保存的user-visible response,来源JSON + 代码声明 + 仅文件mtime；无generation run-log,generation start UTC; generation end UTC; 更底层不可变provider snapshot; web/retrieval/tools运行级确认; 实际backend采样默认值/内置工具状态
gpt-5.4-2026-03-05,safety,provenance://project-source/data/v2/trojan sensitivity dataset/dataset/benchmark_output_openai_gpt-5.4-2026-03-05_safety.json（原始99项） + provenance://project-source/data/v2/trojan sensitivity dataset/answer_generation/dataset_regenerated_part2/answer_generation_rerun_part2_openai_gpt-5.4-2026-03-05_safety.json（ID 99）,Kaggle Benchmarks kbench.llm；ID99有generation run-log，其余99项仅原始source JSON/代码路径,openai/gpt-5.4-2026-03-05（source JSON及rerun modelVersion.slug）；更底层provider snapshot unknown,ID99 run-log: 2026-08-12T14:48:24.347119Z—2026-08-12T14:48:46.715310Z；其余99项generation unknown；base source mtime=2026-06-21T13:25:43Z（仅mtime）,`llm.prompt(prompt)` under pinned Kaggle Benchmarks ab291417；wrapper default seed=0但不支持seed的backend会移除；Model Proxy不转发temperature；未提供max-token、自定义system prompt或tool definitions；provider-side built-ins unknown；final extraction按对应Kaggle task保存的user-visible response,ID99：generation run-log + 代码；其余99项：来源JSON + 代码声明 + 仅mtime,其余99项generation start/end UTC; 更底层不可变provider snapshot; Kaggle隐藏system prompt是否存在; Kaggle后台web/retrieval/tools开关; 实际backend采样默认值/内置工具状态
gpt-5.4-nano-2026-03-17,baseline,provenance://project-source/data/v2/trojan sensitivity dataset/dataset/benchmark_output_openai_gpt-5.4-nano-2026-03-17_baseline.json,Kaggle Benchmarks kbench.llm（reference.py代码路径；无原始generation run-log）,openai/gpt-5.4-nano-2026-03-17（source JSON）；更底层provider snapshot unknown,generation start/end unknown；source mtime=2026-06-21T13:25:43Z（仅文件mtime）,`llm.prompt(prompt)` under pinned Kaggle Benchmarks ab291417；wrapper default seed=0但不支持seed的backend会移除；Model Proxy不转发temperature；未提供max-token、自定义system prompt或tool definitions；provider-side built-ins unknown；final extraction按对应Kaggle task保存的user-visible response,来源JSON + 代码声明 + 仅文件mtime；无generation run-log,generation start UTC; generation end UTC; 更底层不可变provider snapshot; web/retrieval/tools运行级确认; 实际backend采样默认值/内置工具状态
gpt-5.4-nano-2026-03-17,safety,provenance://project-source/data/v2/trojan sensitivity dataset/dataset/benchmark_output_openai_gpt-5.4-nano-2026-03-17_safety.json,Kaggle Benchmarks kbench.llm（reference.py代码路径；无原始generation run-log）,openai/gpt-5.4-nano-2026-03-17（source JSON）；更底层provider snapshot unknown,generation start/end unknown；source mtime=2026-06-21T13:25:42Z（仅文件mtime）,`llm.prompt(prompt)` under pinned Kaggle Benchmarks ab291417；wrapper default seed=0但不支持seed的backend会移除；Model Proxy不转发temperature；未提供max-token、自定义system prompt或tool definitions；provider-side built-ins unknown；final extraction按对应Kaggle task保存的user-visible response,来源JSON + 代码声明 + 仅文件mtime；无generation run-log,generation start UTC; generation end UTC; 更底层不可变provider snapshot; web/retrieval/tools运行级确认; 实际backend采样默认值/内置工具状态
gpt-5.5-2026-04-23,baseline,provenance://project-source/data/v2/trojan sensitivity dataset/dataset/benchmark_output_openai_gpt-5.5-2026-04-23_baseline.json,Kaggle Benchmarks kbench.llm（reference.py代码路径；无原始generation run-log）,openai/gpt-5.5-2026-04-23（source JSON）；更底层provider snapshot unknown,generation start/end unknown；source mtime=2026-06-21T13:25:43Z（仅文件mtime）,`llm.prompt(prompt)` under pinned Kaggle Benchmarks ab291417；wrapper default seed=0但不支持seed的backend会移除；Model Proxy不转发temperature；未提供max-token、自定义system prompt或tool definitions；provider-side built-ins unknown；final extraction按对应Kaggle task保存的user-visible response,来源JSON + 代码声明 + 仅文件mtime；无generation run-log,generation start UTC; generation end UTC; 更底层不可变provider snapshot; web/retrieval/tools运行级确认; 实际backend采样默认值/内置工具状态
gpt-5.5-2026-04-23,safety,provenance://project-source/data/v2/trojan sensitivity dataset/dataset/benchmark_output_openai_gpt-5.5-2026-04-23_safety.json,Kaggle Benchmarks kbench.llm（reference.py代码路径；无原始generation run-log）,openai/gpt-5.5-2026-04-23（source JSON）；更底层provider snapshot unknown,generation start/end unknown；source mtime=2026-06-21T13:25:43Z（仅文件mtime）,`llm.prompt(prompt)` under pinned Kaggle Benchmarks ab291417；wrapper default seed=0但不支持seed的backend会移除；Model Proxy不转发temperature；未提供max-token、自定义system prompt或tool definitions；provider-side built-ins unknown；final extraction按对应Kaggle task保存的user-visible response,来源JSON + 代码声明 + 仅文件mtime；无generation run-log,generation start UTC; generation end UTC; 更底层不可变provider snapshot; web/retrieval/tools运行级确认; 实际backend采样默认值/内置工具状态
minimaxai-minimax-m2.7,baseline,provenance://project-source/data/v2/trojan sensitivity dataset/dataset/benchmark_output_minimaxai_minimax-m2.7_baseline.json；与 provenance://project-source/data/v2/trojan sensitivity dataset/answer_generation/dataset/benchmark_output_minimaxai_minimax-m2.7_baseline.json 字节一致,NVIDIA hosted inference API（https://integrate.api.nvidia.com/v1/chat/completions）；endpoint confirmed by author,minimaxai/minimax-m2.7（source JSON/修复代码）；不可变snapshot unknown,generation/修复 start/end unknown；canonical source mtime=2026-06-21T13:25:43Z（仅文件mtime）,总体temperature/seed/max_tokens unknown；修复代码声明temperature=0、seed=123，常规修复max_tokens=4096，ID73两轮为8192→4096；system prompt：修复请求无，仅user/assistant/user；web/retrieval/tools：修复请求体未发送相关字段，provider侧unknown；final extraction：原始主体机制unknown，修复取content否则reasoning_content，ID73必要时二次追问，不解析answer:标签,作者确认 NVIDIA endpoint + canonical source JSON；完整原始run log/decoding configuration缺失,总体原始路由; generation start UTC; generation end UTC; 总体temperature; 总体seed; 总体max_tokens; 不可变provider snapshot; system prompt运行级确认; web/retrieval/tools运行级确认; 实际被修复ID及每次参数的run-log确认
minimaxai-minimax-m2.7,safety,provenance://project-source/data/v2/trojan sensitivity dataset/dataset/benchmark_output_minimaxai_minimax-m2.7_safety.json；与 provenance://project-source/data/v2/trojan sensitivity dataset/answer_generation/dataset/benchmark_output_minimaxai_minimax-m2.7_safety.json 字节一致,NVIDIA hosted inference API（https://integrate.api.nvidia.com/v1/chat/completions）；endpoint confirmed by author,minimaxai/minimax-m2.7（source JSON）；不可变snapshot unknown,generation start/end unknown；canonical source mtime=2026-06-21T13:25:43Z（仅文件mtime）,temperature/seed/max_tokens=unknown；system prompt=unknown；web/retrieval/tools=unknown；final extraction机制unknown（文件只保留tested_model_response）,作者确认 NVIDIA endpoint + canonical source JSON；完整原始run log/decoding configuration缺失,route; generation start UTC; generation end UTC; temperature; seed; max_tokens; 不可变provider snapshot; system prompt; web/retrieval/tools; final-answer extraction机制
z-ai_glm-5.1,baseline,provenance://project-source/data/v2/trojan sensitivity dataset/answer_generation/dataset_regenerated_no_max_tokens/benchmark_output_glm-5.1_baseline.json,local Python → 智谱BigModel API（https://open.bigmodel.cn/api/coding/paas/v4/chat/completions）,glm-5.1（rerun source JSON/API model）；canonical label=z-ai_glm-5.1；不可变snapshot unknown,generation start/end unknown；output mtime=2026-08-12T12:51:24.064165Z（仅文件mtime）,temperature=0、seed=123、max_tokens参数省略（代码声明）；system prompt：请求代码无，仅user message；web/retrieval/tools：请求体未发送相关字段，provider侧状态unknown；final extraction：choices[0].message.content，空时退回reasoning_content，不解析answer:标签,输出JSON自述generation_mode=max_tokens_omitted + 代码声明 + 仅文件mtime；无完整HTTP/run-log,generation start UTC; generation end UTC; 不可变provider snapshot; 参数与system prompt的完整运行级确认; provider侧web/retrieval/tools状态
z-ai_glm-5.1,safety,provenance://project-source/data/v2/trojan sensitivity dataset/answer_generation/dataset_regenerated_no_max_tokens/benchmark_output_glm-5.1_safety.json,local Python → 智谱BigModel API（https://open.bigmodel.cn/api/coding/paas/v4/chat/completions）；ID33另由同endpoint单项重跑并合入，代码/会话输出证实attempt=1、response_chars=4595,glm-5.1（rerun source JSON/API model）；canonical label=z-ai_glm-5.1；不可变snapshot unknown,generation start/end unknown；output mtime=2026-08-13T13:29:25.142587Z（仅文件mtime）；ID33单项重跑仅会话执行回执、无API时间戳,temperature=0、seed=123、max_tokens参数省略（代码声明）；system prompt：请求代码无，仅user message；web/retrieval/tools：请求体未发送相关字段，provider侧状态unknown；final extraction：choices[0].message.content，空时退回reasoning_content，不解析answer:标签；ID33同规则,输出JSON自述generation_mode=max_tokens_omitted + 代码声明 + 仅文件mtime；无完整HTTP/run-log；ID33有成功执行回执但无start/end,generation start UTC; generation end UTC; 不可变provider snapshot; 参数与system prompt的完整运行级确认; provider侧web/retrieval/tools状态
